Grado,Asignatura,ID,Errors
10,Competencia Lectora,CL-LEC-10-narrativo-001,"V3.0: Missing Periodo"
10,Ciencias Naturales,CO-BIO-10-ECOLOGIA-001,"V3.0: Missing Periodo"
10,Ciencias Naturales,CO-BIO-10-METABOLISMO-001,"V3.0: Missing Periodo"
10,Física,CO-FIS-10-CINEMATICA-001,"V3.0: Missing Periodo"
10,Física,CO-FIS-10-DINAMICA-001,"V3.0: Missing Periodo"
10,ciencias-naturales,CO-NAT-10-biologia-metabolismo-001,"V3.0: Missing Periodo"
10,ciencias-naturales,CO-NAT-10-fisica-cinematica-001,"V3.0: Missing Periodo"
10,ciencias-naturales,CO-NAT-10-fisica-dinamica-001,"V3.0: Missing Periodo"
10,ciencias-naturales,CO-NAT-10-quimica-reacciones-001,"V3.0: Missing Periodo"
10,Química,CO-QUI-10-NOMENCLATURA-001,"V3.0: Missing Periodo"
10,Química,CO-QUI-10-REACCIONES-001,"V3.0: Missing Periodo"
11,Ciencias Naturales,CO-FIS-11-energia-001,"V3.0: Missing Periodo"
11,Ciencias Naturales,CO-FIS-11-mecanica-001,"V3.0: Missing Periodo"
11,Ciencias Naturales,CO-FIS-11-ondas-001,"V3.0: Missing Periodo"
11,ciencias-naturales,CO-NAT-11-biologia-ecologia-001,"V3.0: Missing Periodo"
11,ciencias-naturales,CO-NAT-11-biologia-evolucion-001,"V3.0: Missing Periodo"
11,ciencias-naturales,CO-NAT-11-biologia-general-001,"V3.0: Missing Periodo"
11,Ciencias Naturales - Física,CO-NAT-11-FIS-001,"V3.0: Missing Periodo"
11,Ciencias Naturales - Química,CO-NAT-11-QUI-001,"V3.0: Missing Periodo"
11,ciencias-naturales,CO-NAT-11-quimica-estequiometria-002,"V3.0: Missing Periodo"
11,Ciencias Naturales,CO-QUI-11-atomica-001,"V3.0: Missing Periodo"
11,Ciencias Naturales,CO-QUI-11-enlaces-001,"V3.0: Missing Periodo"
11,Ciencias Naturales,CO-QUI-11-estequiometria-001,"V3.0: Missing Periodo"
3,ciencias-naturales,CO-CIE-3-plantas-001,"V3.0: Missing Periodo"
3,ciencias-naturales,CO-CIE-3-seresvivos-001,"V3.0: Missing Periodo"
4,Ciencias Naturales,CO-CIE-4-ecosistemas-001,"V3.0: Missing Periodo"
5,Ciencias Naturales,CO-CIE-5-ecosistemas-001,"V3.0: Missing Periodo"
5,Ciencias Naturales,CO-CN-5-ecosistemas-cadenas-001,"V3.0: Missing Periodo"
5,Ciencias Naturales,CO-CN-5-electricidad-magnetismo-001,"V3.0: Missing Periodo"
5,Ciencias Naturales,CO-CN-5-la-celula-001,"V3.0: Missing Periodo"
5,Ciencias Naturales,CO-CN-5-materia-propiedades-001,"V3.0: Missing Periodo"
5,Ciencias Naturales,CO-CN-5-mezclas-soluciones-001,"V3.0: Missing Periodo"
5,Ciencias Naturales,CO-CN-5-sistema-digestivo-001,"V3.0: Missing Periodo"
5,Ciencias Naturales,CO-CN-5-sistemas-respiratorio-circulatorio-001,"V3.0: Missing Periodo"
5,Ciencias Naturales,CO-NAT-05-ECOSISTEMAS-001,"V3.0: Missing Periodo"
6,Ciencias Naturales,CO-CIE-6-celula-tipos-001,"V3.0: Missing Periodo"
6,Ciencias Naturales,CO-CIE-6-materia-propiedades-001,"V3.0: Missing Periodo"
6,Ciencias Naturales,CO-CIE-6-sistemas-cuerpo-001,"V3.0: Missing Periodo"
6,Ciencias Naturales,CO-CNAT-6-AGRO-001,"V3.0: Missing Periodo"
